[1107/005755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/014446:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/231259:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/173108:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/174214:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/175348:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/180718:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/181633:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/183925:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/184137:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1112/191638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1201/122514:ERROR:file_io.cc(30)] read: expected 4, observed 0
